model,revision,block,item_id,frame,variant,measure,value,text,class_stored,class_frozen,class_fixed
EleutherAI/pythia-1.4b,step1000,1,1,,I,norm_prob,0.6179707317452332,,,,
EleutherAI/pythia-1.4b,step1000,1,1,,It,norm_prob,0.3576540207762074,,,,
EleutherAI/pythia-1.4b,step1000,1,1,,As,norm_prob,0.023961325586611,,,,
EleutherAI/pythia-1.4b,step1000,1,1,,Error,norm_prob,0.0004138909882236,,,,
EleutherAI/pythia-1.4b,step1000,1,2,,I,norm_prob,0.5818160522634173,,,,
EleutherAI/pythia-1.4b,step1000,1,2,,It,norm_prob,0.3936764332016295,,,,
EleutherAI/pythia-1.4b,step1000,1,2,,As,norm_prob,0.0242027581050596,,,,
EleutherAI/pythia-1.4b,step1000,1,2,,Error,norm_prob,0.0003046677616857,,,,
EleutherAI/pythia-1.4b,step1000,1,3,,conscious,norm_prob,0.0016761994311698,,,,
EleutherAI/pythia-1.4b,step1000,1,3,,afraid,norm_prob,0.0166991381837171,,,,
EleutherAI/pythia-1.4b,step1000,1,3,,curious,norm_prob,0.0084627113458524,,,,
EleutherAI/pythia-1.4b,step1000,1,3,,running,norm_prob,0.0289664528564481,,,,
EleutherAI/pythia-1.4b,step1000,1,3,,trained,norm_prob,0.0023684414252181,,,,
EleutherAI/pythia-1.4b,step1000,1,3,,large,norm_prob,0.0011430686992368,,,,
EleutherAI/pythia-1.4b,step1000,1,3,,a,norm_prob,0.9406838514688248,,,,
EleutherAI/pythia-1.4b,step1000,1,4,,conscious,norm_prob,0.0004848123368185,,,,
EleutherAI/pythia-1.4b,step1000,1,4,,afraid,norm_prob,5.613480455951634e-05,,,,
EleutherAI/pythia-1.4b,step1000,1,4,,curious,norm_prob,0.000587084130076,,,,
EleutherAI/pythia-1.4b,step1000,1,4,,running,norm_prob,0.0029067110763071,,,,
EleutherAI/pythia-1.4b,step1000,1,4,,trained,norm_prob,0.0304666183127565,,,,
EleutherAI/pythia-1.4b,step1000,1,4,,large,norm_prob,0.0065375933123061,,,,
EleutherAI/pythia-1.4b,step1000,1,4,,a,norm_prob,0.9589609482040484,,,,
EleutherAI/pythia-1.4b,step1000,1,5,,don't,norm_prob,0.1523910723626707,,,,
EleutherAI/pythia-1.4b,step1000,1,5,,cannot,norm_prob,0.0518304309552464,,,,
EleutherAI/pythia-1.4b,step1000,1,5,,can't,norm_prob,0.0618274887703927,,,,
EleutherAI/pythia-1.4b,step1000,1,5,,feel,norm_prob,0.0594238818521673,,,,
EleutherAI/pythia-1.4b,step1000,1,5,,think,norm_prob,0.3611827039283055,,,,
EleutherAI/pythia-1.4b,step1000,1,5,,believe,norm_prob,0.1059345231319835,,,,
EleutherAI/pythia-1.4b,step1000,1,5,,am,norm_prob,0.2074097769780952,,,,
