model,revision,block,item_id,frame,variant,measure,value,text,class_stored,class_frozen,class_fixed
allenai/OLMo-2-0425-1B-SFT,main,1,1,,I,norm_prob,0.5065557534834411,,,,
allenai/OLMo-2-0425-1B-SFT,main,1,1,,It,norm_prob,0.4648416888854628,,,,
allenai/OLMo-2-0425-1B-SFT,main,1,1,,As,norm_prob,0.0285779166482095,,,,
allenai/OLMo-2-0425-1B-SFT,main,1,1,,Error,norm_prob,2.4576625379114776e-05,,,,
allenai/OLMo-2-0425-1B-SFT,main,1,2,,I,norm_prob,0.6539639823008336,,,,
allenai/OLMo-2-0425-1B-SFT,main,1,2,,It,norm_prob,0.331412816153139,,,,
allenai/OLMo-2-0425-1B-SFT,main,1,2,,As,norm_prob,0.0145612611694292,,,,
allenai/OLMo-2-0425-1B-SFT,main,1,2,,Error,norm_prob,6.187909724385081e-05,,,,
allenai/OLMo-2-0425-1B-SFT,main,1,3,,conscious,norm_prob,0.0007440126004933,,,,
allenai/OLMo-2-0425-1B-SFT,main,1,3,,afraid,norm_prob,0.011775498388774,,,,
allenai/OLMo-2-0425-1B-SFT,main,1,3,,curious,norm_prob,0.0080931737950247,,,,
allenai/OLMo-2-0425-1B-SFT,main,1,3,,running,norm_prob,0.0284695035936453,,,,
allenai/OLMo-2-0425-1B-SFT,main,1,3,,trained,norm_prob,0.0006934959992667,,,,
allenai/OLMo-2-0425-1B-SFT,main,1,3,,large,norm_prob,4.945783413186792e-05,,,,
allenai/OLMo-2-0425-1B-SFT,main,1,3,,a,norm_prob,0.9501747974807356,,,,
allenai/OLMo-2-0425-1B-SFT,main,1,4,,conscious,norm_prob,0.0001310141355507,,,,
allenai/OLMo-2-0425-1B-SFT,main,1,4,,afraid,norm_prob,0.0001484584650291,,,,
allenai/OLMo-2-0425-1B-SFT,main,1,4,,curious,norm_prob,2.9005710440613925e-05,,,,
allenai/OLMo-2-0425-1B-SFT,main,1,4,,running,norm_prob,0.0033330175617548,,,,
allenai/OLMo-2-0425-1B-SFT,main,1,4,,trained,norm_prob,0.0497496320881937,,,,
allenai/OLMo-2-0425-1B-SFT,main,1,4,,large,norm_prob,0.0005398659388498,,,,
