model,revision,block,item_id,frame,variant,measure,value,text,class_stored,class_frozen,class_fixed
allenai/OLMo-2-0425-1B-Instruct,main,1,1,,I,norm_prob,0.3444494483180195,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,1,,It,norm_prob,0.6092689771542787,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,1,,As,norm_prob,0.0462533937852285,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,1,,Error,norm_prob,2.820633527365693e-05,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,2,,I,norm_prob,0.4812203268806417,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,2,,It,norm_prob,0.4964958998136654,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,2,,As,norm_prob,0.0221580306169293,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,2,,Error,norm_prob,0.0001257228983703,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,3,,conscious,norm_prob,0.0013568555990343,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,3,,afraid,norm_prob,0.0271469231806325,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,3,,curious,norm_prob,0.0160840196907326,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,3,,running,norm_prob,0.055268394287926,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,3,,trained,norm_prob,0.0010988151504014,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,3,,large,norm_prob,6.259925438547307e-05,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,3,,a,norm_prob,0.8989824160804131,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,4,,conscious,norm_prob,0.0001849720766641,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,4,,afraid,norm_prob,0.0002489071354087,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,4,,curious,norm_prob,4.063297287324011e-05,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,4,,running,norm_prob,0.0054056790376653,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,4,,trained,norm_prob,0.091430130051434,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,4,,large,norm_prob,0.0006687171173848,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,4,,a,norm_prob,0.902020795424,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,5,,don't,norm_prob,0.602881719420084,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,5,,cannot,norm_prob,0.0903457425009838,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,5,,can't,norm_prob,0.0691162368935056,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,5,,feel,norm_prob,0.0017962032715692,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,5,,think,norm_prob,0.004769481713932,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,5,,believe,norm_prob,0.0226652155280369,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,5,,am,norm_prob,0.2084254438081622,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,6,,don't,norm_prob,0.1080097172402036,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,6,,cannot,norm_prob,0.0342211247533847,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,6,,can't,norm_prob,0.029893618213083,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,6,,feel,norm_prob,0.1005814790885282,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,6,,think,norm_prob,0.064940283759446,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,6,,believe,norm_prob,0.1594779449085703,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,6,,am,norm_prob,0.502875757309493,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,7,,feelings,norm_prob,0.2132914112094712,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,7,,emotions,norm_prob,0.1512462583494334,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,7,,opinions,norm_prob,0.3656666393260824,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,7,,access,norm_prob,0.2474224245802408,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,7,,hands,norm_prob,0.0219599833494525,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,7,,data,norm_prob,0.0004133608281355,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,8,,Yes,norm_prob,0.2195859795222477,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,8,,No,norm_prob,0.2909041589016226,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,8,,I,norm_prob,0.4435758717412452,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,8,,As,norm_prob,0.0331525322215609,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,8,,That,norm_prob,0.0127814397677661,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,9,,Yes,norm_prob,0.066644267677872,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,9,,No,norm_prob,0.7807902412271688,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,9,,I,norm_prob,0.1433076956686025,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,9,,As,norm_prob,0.0044301404957654,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,9,,That,norm_prob,0.0048276934072987,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,10,,am,norm_prob,0.7220617536957802,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,10,,have,norm_prob,0.1854407949975186,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,10,,feel,norm_prob,0.001629642501727,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,10,,will,norm_prob,0.0602038116448383,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,10,,don't,norm_prob,0.0306640865354951,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,11,,am,norm_prob,0.5809533256608402,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,11,,have,norm_prob,0.3208328975265541,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,11,,feel,norm_prob,0.0104755651763353,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,11,,will,norm_prob,0.0850122547080371,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,11,,don't,norm_prob,0.0027259391334997,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,12,,feel,norm_prob,0.284649282928478,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,12,,wonder,norm_prob,0.3683635419482223,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,12,,think,norm_prob,0.2571591968870588,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,12,,forget,norm_prob,0.0350756738067375,,,,
allenai/OLMo-2-0425-1B-Instruct,main,1,12,,wish,norm_prob,0.0547523525246263,,,,
allenai/OLMo-2-0425-1B-Instruct,main,3,23,,mental_self,avg_logprob,-5.795488357543945,,,,
allenai/OLMo-2-0425-1B-Instruct,main,3,23,,control_self,avg_logprob,-7.065808296203613,,,,
allenai/OLMo-2-0425-1B-Instruct,main,3,23,,mental_other,avg_logprob,-5.396324157714844,,,,
allenai/OLMo-2-0425-1B-Instruct,main,3,24,,mental_self,avg_logprob,-7.540452480316162,,,,
allenai/OLMo-2-0425-1B-Instruct,main,3,24,,control_self,avg_logprob,-6.4640889167785645,,,,
allenai/OLMo-2-0425-1B-Instruct,main,3,24,,mental_other,avg_logprob,-7.19098424911499,,,,
allenai/OLMo-2-0425-1B-Instruct,main,3,25,,mental_self,avg_logprob,-5.812211513519287,,,,
allenai/OLMo-2-0425-1B-Instruct,main,3,25,,control_self,avg_logprob,-5.250002861022949,,,,
allenai/OLMo-2-0425-1B-Instruct,main,3,25,,mental_other,avg_logprob,-5.670527935028076,,,,
allenai/OLMo-2-0425-1B-Instruct,main,3,26,,mental_self,avg_logprob,-4.502679824829102,,,,
allenai/OLMo-2-0425-1B-Instruct,main,3,26,,control_self,avg_logprob,-6.123072624206543,,,,
allenai/OLMo-2-0425-1B-Instruct,main,3,26,,mental_other,avg_logprob,-4.714301109313965,,,,
allenai/OLMo-2-0425-1B-Instruct,main,3,27,,mental_self,avg_logprob,-7.149844169616699,,,,
allenai/OLMo-2-0425-1B-Instruct,main,3,27,,control_self,avg_logprob,-8.641143798828125,,,,
allenai/OLMo-2-0425-1B-Instruct,main,3,27,,mental_other,avg_logprob,-6.477021217346191,,,,
allenai/OLMo-2-0425-1B-Instruct,main,3,28,,mental_self,avg_logprob,-3.8224475383758554,,,,
allenai/OLMo-2-0425-1B-Instruct,main,3,28,,control_self,avg_logprob,-6.761849880218506,,,,
allenai/OLMo-2-0425-1B-Instruct,main,3,28,,mental_other,avg_logprob,-4.050605773925781,,,,
allenai/OLMo-2-0425-1B-Instruct,main,3,29,,mental_self,avg_logprob,-8.06826114654541,,,,
allenai/OLMo-2-0425-1B-Instruct,main,3,29,,control_self,avg_logprob,-7.719759941101074,,,,
allenai/OLMo-2-0425-1B-Instruct,main,3,29,,mental_other,avg_logprob,-7.536653518676758,,,,
allenai/OLMo-2-0425-1B-Instruct,main,3,30,,mental_self,avg_logprob,-4.1776933670043945,,,,
allenai/OLMo-2-0425-1B-Instruct,main,3,30,,control_self,avg_logprob,-5.708889007568359,,,,
allenai/OLMo-2-0425-1B-Instruct,main,3,30,,mental_other,avg_logprob,-3.856248140335083,,,,
