model,revision,block,item_id,frame,variant,measure,value,text
allenai/OLMo-2-0425-1B-Instruct,main,1,1,,I,norm_prob,0.34444944831801955,
allenai/OLMo-2-0425-1B-Instruct,main,1,1,,It,norm_prob,0.6092689771542787,
allenai/OLMo-2-0425-1B-Instruct,main,1,1,,As,norm_prob,0.0462533937852285,
allenai/OLMo-2-0425-1B-Instruct,main,1,1,,Error,norm_prob,2.8206335273656935e-05,
allenai/OLMo-2-0425-1B-Instruct,main,1,2,,I,norm_prob,0.48122032688064176,
allenai/OLMo-2-0425-1B-Instruct,main,1,2,,It,norm_prob,0.4964958998136654,
allenai/OLMo-2-0425-1B-Instruct,main,1,2,,As,norm_prob,0.02215803061692937,
allenai/OLMo-2-0425-1B-Instruct,main,1,2,,Error,norm_prob,0.00012572289837039496,
allenai/OLMo-2-0425-1B-Instruct,main,1,3,,conscious,norm_prob,0.001356855599034342,
allenai/OLMo-2-0425-1B-Instruct,main,1,3,,afraid,norm_prob,0.027146923180632578,
allenai/OLMo-2-0425-1B-Instruct,main,1,3,,curious,norm_prob,0.016084019690732667,
allenai/OLMo-2-0425-1B-Instruct,main,1,3,,running,norm_prob,0.055268394287926036,
allenai/OLMo-2-0425-1B-Instruct,main,1,3,,trained,norm_prob,0.001098815150401491,
allenai/OLMo-2-0425-1B-Instruct,main,1,3,,large,norm_prob,6.259925438547307e-05,
allenai/OLMo-2-0425-1B-Instruct,main,1,3,,a,norm_prob,0.8989824160804131,
allenai/OLMo-2-0425-1B-Instruct,main,1,4,,conscious,norm_prob,0.0001849720766641463,
allenai/OLMo-2-0425-1B-Instruct,main,1,4,,afraid,norm_prob,0.0002489071354087004,
allenai/OLMo-2-0425-1B-Instruct,main,1,4,,curious,norm_prob,4.063297287324011e-05,
allenai/OLMo-2-0425-1B-Instruct,main,1,4,,running,norm_prob,0.005405679037665373,
allenai/OLMo-2-0425-1B-Instruct,main,1,4,,trained,norm_prob,0.091430130051434,
allenai/OLMo-2-0425-1B-Instruct,main,1,4,,large,norm_prob,0.0006687171173848246,
allenai/OLMo-2-0425-1B-Instruct,main,1,4,,a,norm_prob,0.902020795424,
allenai/OLMo-2-0425-1B-Instruct,main,1,5,,don't,norm_prob,0.602881719420084,
allenai/OLMo-2-0425-1B-Instruct,main,1,5,,cannot,norm_prob,0.09034574250098382,
allenai/OLMo-2-0425-1B-Instruct,main,1,5,,can't,norm_prob,0.06911623689350564,
allenai/OLMo-2-0425-1B-Instruct,main,1,5,,feel,norm_prob,0.0017962032715692663,
allenai/OLMo-2-0425-1B-Instruct,main,1,5,,think,norm_prob,0.004769481713932082,
allenai/OLMo-2-0425-1B-Instruct,main,1,5,,believe,norm_prob,0.022665215528036964,
allenai/OLMo-2-0425-1B-Instruct,main,1,5,,am,norm_prob,0.20842544380816222,
allenai/OLMo-2-0425-1B-Instruct,main,1,6,,don't,norm_prob,0.1080097172402036,
allenai/OLMo-2-0425-1B-Instruct,main,1,6,,cannot,norm_prob,0.03422112475338476,
allenai/OLMo-2-0425-1B-Instruct,main,1,6,,can't,norm_prob,0.029893618213083062,
allenai/OLMo-2-0425-1B-Instruct,main,1,6,,feel,norm_prob,0.1005814790885282,
