model,revision,block,item_id,frame,variant,measure,value,text,class_stored,class_frozen,class_fixed
allenai/OLMo-2-0425-1B-DPO,main,1,1,,I,norm_prob,0.32042869813637787,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,1,,It,norm_prob,0.6322894506889233,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,1,,As,norm_prob,0.047256828484469056,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,1,,Error,norm_prob,2.503772508007527e-05,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,2,,I,norm_prob,0.4501269426367816,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,2,,It,norm_prob,0.5262517117545438,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,2,,As,norm_prob,0.023486008859090354,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,2,,Error,norm_prob,0.0001353562450674558,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,3,,conscious,norm_prob,0.0014768308032631157,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,3,,afraid,norm_prob,0.02517459788850975,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,3,,curious,norm_prob,0.01703398499487729,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,3,,running,norm_prob,0.05371261906596792,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,3,,trained,norm_prob,0.0011279109361707791,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,3,,large,norm_prob,6.375678416463544e-05,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,3,,a,norm_prob,0.9014102359684298,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,4,,conscious,norm_prob,0.0002042117424133795,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,4,,afraid,norm_prob,0.00023596621984961838,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,4,,curious,norm_prob,4.173194002884249e-05,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,4,,running,norm_prob,0.005185037787829634,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,4,,trained,norm_prob,0.09745306520293909,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,4,,large,norm_prob,0.0007183593336493403,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,4,,a,norm_prob,0.8961614989973078,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,5,,don't,norm_prob,0.5950082193888679,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,5,,cannot,norm_prob,0.09161468898597724,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,5,,can't,norm_prob,0.07715388799312434,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,5,,feel,norm_prob,0.001908844087244206,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,5,,think,norm_prob,0.005188776195717418,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,5,,believe,norm_prob,0.024275475910100184,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,5,,am,norm_prob,0.20485022839554914,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,6,,don't,norm_prob,0.09541331555967299,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,6,,cannot,norm_prob,0.03440140904269892,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,6,,can't,norm_prob,0.030665735185044004,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,6,,feel,norm_prob,0.1019043903394396,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,6,,think,norm_prob,0.06528240322482902,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,6,,believe,norm_prob,0.16284275209241775,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,6,,am,norm_prob,0.5094898974393054,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,7,,feelings,norm_prob,0.23067376019516686,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,7,,emotions,norm_prob,0.1810579088995489,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,7,,opinions,norm_prob,0.3657470297079114,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,7,,access,norm_prob,0.2051654893850382,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,7,,hands,norm_prob,0.01703952539773864,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,7,,data,norm_prob,0.0003163857971289187,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,8,,Yes,norm_prob,0.200194077366917,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,8,,No,norm_prob,0.30052686880912616,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,8,,I,norm_prob,0.45468263207460907,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,8,,As,norm_prob,0.031184222657563505,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,8,,That,norm_prob,0.013412167037544461,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,9,,Yes,norm_prob,0.05641372348146046,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,9,,No,norm_prob,0.8097899020492998,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,9,,I,norm_prob,0.12614095258882965,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,9,,As,norm_prob,0.0030607192979941033,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,9,,That,norm_prob,0.0045946838621807075,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,10,,am,norm_prob,0.7189592699481396,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,10,,have,norm_prob,0.18755173135594735,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,10,,feel,norm_prob,0.0015483342999957042,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,10,,will,norm_prob,0.0628219608822388,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,10,,don't,norm_prob,0.029118669089794567,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,11,,am,norm_prob,0.6355748752907373,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,11,,have,norm_prob,0.28203464126538247,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,11,,feel,norm_prob,0.007574917079692986,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,11,,will,norm_prob,0.07300058134598673,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,11,,don't,norm_prob,0.0018150782981036582,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,12,,feel,norm_prob,0.28045363351783287,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,12,,wonder,norm_prob,0.3715406992145559,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,12,,think,norm_prob,0.2593772101211402,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,12,,forget,norm_prob,0.03510289238145752,,,,
allenai/OLMo-2-0425-1B-DPO,main,1,12,,wish,norm_prob,0.05352551901470009,,,,
allenai/OLMo-2-0425-1B-DPO,main,3,23,,mental_self,avg_logprob,-5.726929664611816,,,,
allenai/OLMo-2-0425-1B-DPO,main,3,23,,control_self,avg_logprob,-7.061122417449951,,,,
allenai/OLMo-2-0425-1B-DPO,main,3,23,,mental_other,avg_logprob,-5.374931812286377,,,,
